=== MATH333 Final Project Output ===
Generated: 2025-11-26 03:29:32
Output file: Nperiods1000_results/output_20251126_032932.txt

c = 0.0000, d = 0.0000, E(c,d) = 4.0553e-03
c = 0.8000, d = 0.5000, E(c,d) = 8.3266e-01
c = 0.8000, d = 0.6000, E(c,d) = 9.2992e-01
c = 0.8000, d = 0.7000, E(c,d) = 1.0472e+00
c = 0.8000, d = 0.8000, E(c,d) = 1.1845e+00
c = 0.8000, d = 0.9000, E(c,d) = 1.3417e+00
c = 0.8000, d = 1.0000, E(c,d) = 1.5190e+00
c = 0.9000, d = 0.0000, E(c,d) = 8.1661e-01
c = 0.9000, d = 0.1000, E(c,d) = 8.1387e-01
c = 0.9000, d = 0.2000, E(c,d) = 8.3114e-01
c = 0.9000, d = 0.3000, E(c,d) = 8.6841e-01
c = 0.9000, d = 0.4000, E(c,d) = 9.2567e-01
c = 0.9000, d = 0.5000, E(c,d) = 1.0029e+00
c = 0.9000, d = 0.6000, E(c,d) = 1.1002e+00
c = 0.9000, d = 0.7000, E(c,d) = 1.2175e+00
c = 0.9000, d = 0.8000, E(c,d) = 1.3547e+00
c = 0.9000, d = 0.9000, E(c,d) = 1.5120e+00
c = 0.9000, d = 1.0000, E(c,d) = 1.6893e+00
c = 1.0000, d = 0.0000, E(c,d) = 1.0069e+00
c = 1.0000, d = 0.1000, E(c,d) = 1.0042e+00
c = 1.0000, d = 0.2000, E(c,d) = 1.0214e+00
c = 1.0000, d = 0.3000, E(c,d) = 1.0587e+00
c = 1.0000, d = 0.4000, E(c,d) = 1.1160e+00
c = 1.0000, d = 0.5000, E(c,d) = 1.1932e+00
c = 1.0000, d = 0.6000, E(c,d) = 1.2905e+00
c = 1.0000, d = 0.7000, E(c,d) = 1.4078e+00
c = 1.0000, d = 0.8000, E(c,d) = 1.5450e+00
c = 1.0000, d = 0.9000, E(c,d) = 1.7023e+00
c = 1.0000, d = 1.0000, E(c,d) = 1.8796e+00

Error Matrix (11×11):
['4.0553e-03', '1.3222e-03', '1.8589e-02', '5.5856e-02', '1.1312e-01', '1.9039e-01', '2.8766e-01', '4.0492e-01', '5.4219e-01', '6.9946e-01', '8.7672e-01']
['1.4339e-02', '1.1606e-02', '2.8873e-02', '6.6139e-02', '1.2341e-01', '2.0067e-01', '2.9794e-01', '4.1521e-01', '5.5247e-01', '7.0974e-01', '8.8701e-01']
['4.4622e-02', '4.1889e-02', '5.9156e-02', '9.6423e-02', '1.5369e-01', '2.3096e-01', '3.2822e-01', '4.4549e-01', '5.8276e-01', '7.4002e-01', '9.1729e-01']
['9.4906e-02', '9.2173e-02', '1.0944e-01', '1.4671e-01', '2.0397e-01', '2.8124e-01', '3.7851e-01', '4.9577e-01', '6.3304e-01', '7.9031e-01', '9.6757e-01']
['1.6519e-01', '1.6246e-01', '1.7972e-01', '2.1699e-01', '2.7426e-01', '3.5152e-01', '4.4879e-01', '5.6606e-01', '7.0332e-01', '8.6059e-01', '1.0379e+00']
['2.5547e-01', '2.5274e-01', '2.7001e-01', '3.0727e-01', '3.6454e-01', '4.4181e-01', '5.3907e-01', '6.5634e-01', '7.9361e-01', '9.5087e-01', '1.1281e+00']
['3.6576e-01', '3.6302e-01', '3.8029e-01', '4.1756e-01', '4.7482e-01', '5.5209e-01', '6.4936e-01', '7.6662e-01', '9.0389e-01', '1.0612e+00', '1.2384e+00']
['4.9604e-01', '4.9331e-01', '5.1057e-01', '5.4784e-01', '6.0511e-01', '6.8237e-01', '7.7964e-01', '8.9691e-01', '1.0342e+00', '1.1914e+00', '1.3687e+00']
['6.4632e-01', '6.4359e-01', '6.6086e-01', '6.9812e-01', '7.5539e-01', '8.3266e-01', '9.2992e-01', '1.0472e+00', '1.1845e+00', '1.3417e+00', '1.5190e+00']
['8.1661e-01', '8.1387e-01', '8.3114e-01', '8.6841e-01', '9.2567e-01', '1.0029e+00', '1.1002e+00', '1.2175e+00', '1.3547e+00', '1.5120e+00', '1.6893e+00']
['1.0069e+00', '1.0042e+00', '1.0214e+00', '1.0587e+00', '1.1160e+00', '1.1932e+00', '1.2905e+00', '1.4078e+00', '1.5450e+00', '1.7023e+00', '1.8796e+00']

Best grid point:
(c, d) = (0.0, 0.1),  E = 1.3222e-03

=== Local grid search around (c0=0.0, d0=0.1), label = small ===
c = -0.100, d = 0.000, E(c,d) = 1.3772e-02
c = -0.100, d = 0.010, E(c,d) = 1.2599e-02
c = -0.100, d = 0.020, E(c,d) = 1.1625e-02
c = -0.100, d = 0.030, E(c,d) = 1.0852e-02
c = -0.100, d = 0.040, E(c,d) = 1.0279e-02
c = -0.100, d = 0.050, E(c,d) = 9.9053e-03
c = -0.100, d = 0.060, E(c,d) = 9.7320e-03
c = -0.100, d = 0.070, E(c,d) = 9.7586e-03
c = -0.100, d = 0.080, E(c,d) = 9.9853e-03
c = -0.100, d = 0.090, E(c,d) = 1.0412e-02
c = -0.100, d = 0.100, E(c,d) = 1.1039e-02
c = -0.100, d = 0.110, E(c,d) = 1.1865e-02
c = -0.100, d = 0.120, E(c,d) = 1.2892e-02
c = -0.100, d = 0.130, E(c,d) = 1.4119e-02
c = -0.100, d = 0.140, E(c,d) = 1.5545e-02
c = -0.100, d = 0.150, E(c,d) = 1.7172e-02
c = -0.100, d = 0.160, E(c,d) = 1.8999e-02
c = -0.100, d = 0.170, E(c,d) = 2.1026e-02
c = -0.100, d = 0.180, E(c,d) = 2.3252e-02
c = -0.100, d = 0.190, E(c,d) = 2.5679e-02
c = -0.100, d = 0.200, E(c,d) = 2.8306e-02
c = -0.090, d = 0.000, E(c,d) = 1.1900e-02
c = -0.090, d = 0.010, E(c,d) = 1.0727e-02
c = -0.090, d = 0.020, E(c,d) = 9.7536e-03
c = -0.090, d = 0.030, E(c,d) = 8.9802e-03
c = -0.090, d = 0.040, E(c,d) = 8.4069e-03
c = -0.090, d = 0.050, E(c,d) = 8.0336e-03
c = -0.090, d = 0.060, E(c,d) = 7.8603e-03
c = -0.090, d = 0.070, E(c,d) = 7.8870e-03
c = -0.090, d = 0.080, E(c,d) = 8.1137e-03
c = -0.090, d = 0.090, E(c,d) = 8.5404e-03
c = -0.090, d = 0.100, E(c,d) = 9.1671e-03
c = -0.090, d = 0.110, E(c,d) = 9.9937e-03
c = -0.090, d = 0.120, E(c,d) = 1.1020e-02
c = -0.090, d = 0.130, E(c,d) = 1.2247e-02
c = -0.090, d = 0.140, E(c,d) = 1.3674e-02
c = -0.090, d = 0.150, E(c,d) = 1.5300e-02
c = -0.090, d = 0.160, E(c,d) = 1.7127e-02
c = -0.090, d = 0.170, E(c,d) = 1.9154e-02
c = -0.090, d = 0.180, E(c,d) = 2.1381e-02
c = -0.090, d = 0.190, E(c,d) = 2.3807e-02
c = -0.090, d = 0.200, E(c,d) = 2.6434e-02
c = -0.080, d = 0.000, E(c,d) = 1.0229e-02
c = -0.080, d = 0.010, E(c,d) = 9.0552e-03
c = -0.080, d = 0.020, E(c,d) = 8.0819e-03
c = -0.080, d = 0.030, E(c,d) = 7.3086e-03
c = -0.080, d = 0.040, E(c,d) = 6.7353e-03
c = -0.080, d = 0.050, E(c,d) = 6.3620e-03
c = -0.080, d = 0.060, E(c,d) = 6.1887e-03
c = -0.080, d = 0.070, E(c,d) = 6.2153e-03
c = -0.080, d = 0.080, E(c,d) = 6.4420e-03
c = -0.080, d = 0.090, E(c,d) = 6.8687e-03
c = -0.080, d = 0.100, E(c,d) = 7.4954e-03
c = -0.080, d = 0.110, E(c,d) = 8.3221e-03
c = -0.080, d = 0.120, E(c,d) = 9.3488e-03
c = -0.080, d = 0.130, E(c,d) = 1.0575e-02
c = -0.080, d = 0.140, E(c,d) = 1.2002e-02
c = -0.080, d = 0.150, E(c,d) = 1.3629e-02
c = -0.080, d = 0.160, E(c,d) = 1.5456e-02
c = -0.080, d = 0.170, E(c,d) = 1.7482e-02
c = -0.080, d = 0.180, E(c,d) = 1.9709e-02
c = -0.080, d = 0.190, E(c,d) = 2.2136e-02
c = -0.080, d = 0.200, E(c,d) = 2.4762e-02
c = -0.070, d = 0.000, E(c,d) = 8.7569e-03
c = -0.070, d = 0.010, E(c,d) = 7.5836e-03
c = -0.070, d = 0.020, E(c,d) = 6.6103e-03
c = -0.070, d = 0.030, E(c,d) = 5.8369e-03
c = -0.070, d = 0.040, E(c,d) = 5.2636e-03
c = -0.070, d = 0.050, E(c,d) = 4.8903e-03
c = -0.070, d = 0.060, E(c,d) = 4.7170e-03
c = -0.070, d = 0.070, E(c,d) = 4.7437e-03
c = -0.070, d = 0.080, E(c,d) = 4.9704e-03
c = -0.070, d = 0.090, E(c,d) = 5.3971e-03
c = -0.070, d = 0.100, E(c,d) = 6.0238e-03
c = -0.070, d = 0.110, E(c,d) = 6.8504e-03
c = -0.070, d = 0.120, E(c,d) = 7.8771e-03
c = -0.070, d = 0.130, E(c,d) = 9.1038e-03
c = -0.070, d = 0.140, E(c,d) = 1.0531e-02
c = -0.070, d = 0.150, E(c,d) = 1.2157e-02
c = -0.070, d = 0.160, E(c,d) = 1.3984e-02
c = -0.070, d = 0.170, E(c,d) = 1.6011e-02
c = -0.070, d = 0.180, E(c,d) = 1.8237e-02
c = -0.070, d = 0.190, E(c,d) = 2.0664e-02
c = -0.070, d = 0.200, E(c,d) = 2.3291e-02
c = -0.060, d = 0.000, E(c,d) = 7.4852e-03
c = -0.060, d = 0.010, E(c,d) = 6.3119e-03
c = -0.060, d = 0.020, E(c,d) = 5.3386e-03
c = -0.060, d = 0.030, E(c,d) = 4.5653e-03
c = -0.060, d = 0.040, E(c,d) = 3.9920e-03
c = -0.060, d = 0.050, E(c,d) = 3.6187e-03
c = -0.060, d = 0.060, E(c,d) = 3.4454e-03
c = -0.060, d = 0.070, E(c,d) = 3.4720e-03
c = -0.060, d = 0.080, E(c,d) = 3.6987e-03
c = -0.060, d = 0.090, E(c,d) = 4.1254e-03
c = -0.060, d = 0.100, E(c,d) = 4.7521e-03
c = -0.060, d = 0.110, E(c,d) = 5.5788e-03
c = -0.060, d = 0.120, E(c,d) = 6.6055e-03
c = -0.060, d = 0.130, E(c,d) = 7.8322e-03
c = -0.060, d = 0.140, E(c,d) = 9.2589e-03
c = -0.060, d = 0.150, E(c,d) = 1.0886e-02
c = -0.060, d = 0.160, E(c,d) = 1.2712e-02
c = -0.060, d = 0.170, E(c,d) = 1.4739e-02
c = -0.060, d = 0.180, E(c,d) = 1.6966e-02
c = -0.060, d = 0.190, E(c,d) = 1.9392e-02
c = -0.060, d = 0.200, E(c,d) = 2.2019e-02
c = -0.050, d = 0.000, E(c,d) = 6.4136e-03
c = -0.050, d = 0.010, E(c,d) = 5.2403e-03
c = -0.050, d = 0.020, E(c,d) = 4.2670e-03
c = -0.050, d = 0.030, E(c,d) = 3.4936e-03
c = -0.050, d = 0.040, E(c,d) = 2.9203e-03
c = -0.050, d = 0.050, E(c,d) = 2.5470e-03
c = -0.050, d = 0.060, E(c,d) = 2.3737e-03
c = -0.050, d = 0.070, E(c,d) = 2.4004e-03
c = -0.050, d = 0.080, E(c,d) = 2.6271e-03
c = -0.050, d = 0.090, E(c,d) = 3.0538e-03
c = -0.050, d = 0.100, E(c,d) = 3.6805e-03
c = -0.050, d = 0.110, E(c,d) = 4.5071e-03
c = -0.050, d = 0.120, E(c,d) = 5.5338e-03
c = -0.050, d = 0.130, E(c,d) = 6.7605e-03
c = -0.050, d = 0.140, E(c,d) = 8.1872e-03
c = -0.050, d = 0.150, E(c,d) = 9.8139e-03
c = -0.050, d = 0.160, E(c,d) = 1.1641e-02
c = -0.050, d = 0.170, E(c,d) = 1.3667e-02
c = -0.050, d = 0.180, E(c,d) = 1.5894e-02
c = -0.050, d = 0.190, E(c,d) = 1.8321e-02
c = -0.050, d = 0.200, E(c,d) = 2.0947e-02
c = -0.040, d = 0.000, E(c,d) = 5.5419e-03
c = -0.040, d = 0.010, E(c,d) = 4.3686e-03
c = -0.040, d = 0.020, E(c,d) = 3.3953e-03
c = -0.040, d = 0.030, E(c,d) = 2.6220e-03
c = -0.040, d = 0.040, E(c,d) = 2.0487e-03
c = -0.040, d = 0.050, E(c,d) = 1.6754e-03
c = -0.040, d = 0.060, E(c,d) = 1.5021e-03
c = -0.040, d = 0.070, E(c,d) = 1.5287e-03
c = -0.040, d = 0.080, E(c,d) = 1.7554e-03
c = -0.040, d = 0.090, E(c,d) = 2.1821e-03
c = -0.040, d = 0.100, E(c,d) = 2.8088e-03
c = -0.040, d = 0.110, E(c,d) = 3.6355e-03
c = -0.040, d = 0.120, E(c,d) = 4.6622e-03
c = -0.040, d = 0.130, E(c,d) = 5.8889e-03
c = -0.040, d = 0.140, E(c,d) = 7.3156e-03
c = -0.040, d = 0.150, E(c,d) = 8.9422e-03
c = -0.040, d = 0.160, E(c,d) = 1.0769e-02
c = -0.040, d = 0.170, E(c,d) = 1.2796e-02
c = -0.040, d = 0.180, E(c,d) = 1.5022e-02
c = -0.040, d = 0.190, E(c,d) = 1.7449e-02
c = -0.040, d = 0.200, E(c,d) = 2.0076e-02
c = -0.030, d = 0.000, E(c,d) = 4.8703e-03
c = -0.030, d = 0.010, E(c,d) = 3.6970e-03
c = -0.030, d = 0.020, E(c,d) = 2.7237e-03
c = -0.030, d = 0.030, E(c,d) = 1.9503e-03
c = -0.030, d = 0.040, E(c,d) = 1.3770e-03
c = -0.030, d = 0.050, E(c,d) = 1.0037e-03
c = -0.030, d = 0.060, E(c,d) = 8.3040e-04
c = -0.030, d = 0.070, E(c,d) = 8.5709e-04
c = -0.030, d = 0.080, E(c,d) = 1.0838e-03
c = -0.030, d = 0.090, E(c,d) = 1.5105e-03
c = -0.030, d = 0.100, E(c,d) = 2.1372e-03
c = -0.030, d = 0.110, E(c,d) = 2.9638e-03
c = -0.030, d = 0.120, E(c,d) = 3.9905e-03
c = -0.030, d = 0.130, E(c,d) = 5.2172e-03
c = -0.030, d = 0.140, E(c,d) = 6.6439e-03
c = -0.030, d = 0.150, E(c,d) = 8.2706e-03
c = -0.030, d = 0.160, E(c,d) = 1.0097e-02
c = -0.030, d = 0.170, E(c,d) = 1.2124e-02
c = -0.030, d = 0.180, E(c,d) = 1.4351e-02
c = -0.030, d = 0.190, E(c,d) = 1.6777e-02
c = -0.030, d = 0.200, E(c,d) = 1.9404e-02
c = -0.020, d = 0.000, E(c,d) = 4.3986e-03
c = -0.020, d = 0.010, E(c,d) = 3.2253e-03
c = -0.020, d = 0.020, E(c,d) = 2.2520e-03
c = -0.020, d = 0.030, E(c,d) = 1.4787e-03
c = -0.020, d = 0.040, E(c,d) = 9.0537e-04
c = -0.020, d = 0.050, E(c,d) = 5.3206e-04
c = -0.020, d = 0.060, E(c,d) = 3.5875e-04
c = -0.020, d = 0.070, E(c,d) = 3.8544e-04
c = -0.020, d = 0.080, E(c,d) = 6.1212e-04
c = -0.020, d = 0.090, E(c,d) = 1.0388e-03
c = -0.020, d = 0.100, E(c,d) = 1.6655e-03
c = -0.020, d = 0.110, E(c,d) = 2.4922e-03
c = -0.020, d = 0.120, E(c,d) = 3.5189e-03
c = -0.020, d = 0.130, E(c,d) = 4.7456e-03
c = -0.020, d = 0.140, E(c,d) = 6.1722e-03
c = -0.020, d = 0.150, E(c,d) = 7.7989e-03
c = -0.020, d = 0.160, E(c,d) = 9.6256e-03
c = -0.020, d = 0.170, E(c,d) = 1.1652e-02
c = -0.020, d = 0.180, E(c,d) = 1.3879e-02
c = -0.020, d = 0.190, E(c,d) = 1.6306e-02
c = -0.020, d = 0.200, E(c,d) = 1.8932e-02
c = -0.010, d = 0.000, E(c,d) = 4.1270e-03
c = -0.010, d = 0.010, E(c,d) = 2.9537e-03
c = -0.010, d = 0.020, E(c,d) = 1.9803e-03
c = -0.010, d = 0.030, E(c,d) = 1.2070e-03
c = -0.010, d = 0.040, E(c,d) = 6.3372e-04
c = -0.010, d = 0.050, E(c,d) = 2.6041e-04
c = -0.010, d = 0.060, E(c,d) = 8.7097e-05
c = -0.010, d = 0.070, E(c,d) = 1.1378e-04
c = -0.010, d = 0.080, E(c,d) = 3.4047e-04
c = -0.010, d = 0.090, E(c,d) = 7.6716e-04
c = -0.010, d = 0.100, E(c,d) = 1.3938e-03
c = -0.010, d = 0.110, E(c,d) = 2.2205e-03
c = -0.010, d = 0.120, E(c,d) = 3.2472e-03
c = -0.010, d = 0.130, E(c,d) = 4.4739e-03
c = -0.010, d = 0.140, E(c,d) = 5.9006e-03
c = -0.010, d = 0.150, E(c,d) = 7.5273e-03
c = -0.010, d = 0.160, E(c,d) = 9.3540e-03
c = -0.010, d = 0.170, E(c,d) = 1.1381e-02
c = -0.010, d = 0.180, E(c,d) = 1.3607e-02
c = -0.010, d = 0.190, E(c,d) = 1.6034e-02
c = -0.010, d = 0.200, E(c,d) = 1.8661e-02
c = -0.000, d = 0.000, E(c,d) = 4.0553e-03
c = -0.000, d = 0.010, E(c,d) = 2.8820e-03
c = -0.000, d = 0.020, E(c,d) = 1.9087e-03
c = -0.000, d = 0.030, E(c,d) = 1.1354e-03
c = -0.000, d = 0.040, E(c,d) = 5.6207e-04
c = -0.000, d = 0.050, E(c,d) = 1.8876e-04
c = -0.000, d = 0.060, E(c,d) = 1.5446e-05
c = -0.000, d = 0.070, E(c,d) = 4.2133e-05
c = -0.000, d = 0.080, E(c,d) = 2.6882e-04
c = -0.000, d = 0.090, E(c,d) = 6.9551e-04
c = -0.000, d = 0.100, E(c,d) = 1.3222e-03
c = -0.000, d = 0.110, E(c,d) = 2.1489e-03
c = -0.000, d = 0.120, E(c,d) = 3.1756e-03
c = -0.000, d = 0.130, E(c,d) = 4.4023e-03
c = -0.000, d = 0.140, E(c,d) = 5.8289e-03
c = -0.000, d = 0.150, E(c,d) = 7.4556e-03
c = -0.000, d = 0.160, E(c,d) = 9.2823e-03
c = -0.000, d = 0.170, E(c,d) = 1.1309e-02
c = -0.000, d = 0.180, E(c,d) = 1.3536e-02
c = -0.000, d = 0.190, E(c,d) = 1.5962e-02
c = -0.000, d = 0.200, E(c,d) = 1.8589e-02
c = 0.010, d = 0.000, E(c,d) = 4.1837e-03
c = 0.010, d = 0.010, E(c,d) = 3.0104e-03
c = 0.010, d = 0.020, E(c,d) = 2.0370e-03
c = 0.010, d = 0.030, E(c,d) = 1.2637e-03
c = 0.010, d = 0.040, E(c,d) = 6.9042e-04
c = 0.010, d = 0.050, E(c,d) = 3.1711e-04
c = 0.010, d = 0.060, E(c,d) = 1.4379e-04
c = 0.010, d = 0.070, E(c,d) = 1.7048e-04
c = 0.010, d = 0.080, E(c,d) = 3.9717e-04
c = 0.010, d = 0.090, E(c,d) = 8.2386e-04
c = 0.010, d = 0.100, E(c,d) = 1.4505e-03
c = 0.010, d = 0.110, E(c,d) = 2.2772e-03
c = 0.010, d = 0.120, E(c,d) = 3.3039e-03
c = 0.010, d = 0.130, E(c,d) = 4.5306e-03
c = 0.010, d = 0.140, E(c,d) = 5.9573e-03
c = 0.010, d = 0.150, E(c,d) = 7.5840e-03
c = 0.010, d = 0.160, E(c,d) = 9.4107e-03
c = 0.010, d = 0.170, E(c,d) = 1.1437e-02
c = 0.010, d = 0.180, E(c,d) = 1.3664e-02
c = 0.010, d = 0.190, E(c,d) = 1.6091e-02
c = 0.010, d = 0.200, E(c,d) = 1.8717e-02
c = 0.020, d = 0.000, E(c,d) = 4.5120e-03
c = 0.020, d = 0.010, E(c,d) = 3.3387e-03
c = 0.020, d = 0.020, E(c,d) = 2.3654e-03
c = 0.020, d = 0.030, E(c,d) = 1.5921e-03
c = 0.020, d = 0.040, E(c,d) = 1.0188e-03
c = 0.020, d = 0.050, E(c,d) = 6.4546e-04
c = 0.020, d = 0.060, E(c,d) = 4.7214e-04
c = 0.020, d = 0.070, E(c,d) = 4.9883e-04
c = 0.020, d = 0.080, E(c,d) = 7.2552e-04
c = 0.020, d = 0.090, E(c,d) = 1.1522e-03
c = 0.020, d = 0.100, E(c,d) = 1.7789e-03
c = 0.020, d = 0.110, E(c,d) = 2.6056e-03
c = 0.020, d = 0.120, E(c,d) = 3.6323e-03
c = 0.020, d = 0.130, E(c,d) = 4.8590e-03
c = 0.020, d = 0.140, E(c,d) = 6.2856e-03
c = 0.020, d = 0.150, E(c,d) = 7.9123e-03
c = 0.020, d = 0.160, E(c,d) = 9.7390e-03
c = 0.020, d = 0.170, E(c,d) = 1.1766e-02
c = 0.020, d = 0.180, E(c,d) = 1.3992e-02
c = 0.020, d = 0.190, E(c,d) = 1.6419e-02
c = 0.020, d = 0.200, E(c,d) = 1.9046e-02
c = 0.030, d = 0.000, E(c,d) = 5.0404e-03
c = 0.030, d = 0.010, E(c,d) = 3.8671e-03
c = 0.030, d = 0.020, E(c,d) = 2.8937e-03
c = 0.030, d = 0.030, E(c,d) = 2.1204e-03
c = 0.030, d = 0.040, E(c,d) = 1.5471e-03
c = 0.030, d = 0.050, E(c,d) = 1.1738e-03
c = 0.030, d = 0.060, E(c,d) = 1.0005e-03
c = 0.030, d = 0.070, E(c,d) = 1.0272e-03
c = 0.030, d = 0.080, E(c,d) = 1.2539e-03
c = 0.030, d = 0.090, E(c,d) = 1.6806e-03
c = 0.030, d = 0.100, E(c,d) = 2.3072e-03
c = 0.030, d = 0.110, E(c,d) = 3.1339e-03
c = 0.030, d = 0.120, E(c,d) = 4.1606e-03
c = 0.030, d = 0.130, E(c,d) = 5.3873e-03
c = 0.030, d = 0.140, E(c,d) = 6.8140e-03
c = 0.030, d = 0.150, E(c,d) = 8.4407e-03
c = 0.030, d = 0.160, E(c,d) = 1.0267e-02
c = 0.030, d = 0.170, E(c,d) = 1.2294e-02
c = 0.030, d = 0.180, E(c,d) = 1.4521e-02
c = 0.030, d = 0.190, E(c,d) = 1.6947e-02
